Real cover photos sourced from Wikimedia Commons. Format: file <- source | license | author | page

va-24045-1.jpg  <-  File:Jewel Changi Airport, Singapore - 49466958183.jpg | CC BY 2.0 | cattan2011 | https://commons.wikimedia.org/wiki/File:Jewel_Changi_Airport,_Singapore_-_49466958183.jpg
va-24067-1.jpg  <-  File:JFK Airport td (2021-10-11) 064 - Terminal 7.jpg | CC BY-SA 4.0 | Tdorante10 | https://commons.wikimedia.org/wiki/File:JFK_Airport_td_(2021-10-11)_064_-_Terminal_7.jpg
va-24069-1.jpg  <-  File:Airport-kostroma.jpg | CC BY-SA 3.0 | A.Savin | https://commons.wikimedia.org/wiki/File:Airport-kostroma.jpg
va-25060-1.jpg  <-  File:MosObl SVO Airport asv2018-08 img3.jpg | FAL | A.Savin | https://commons.wikimedia.org/wiki/File:MosObl_SVO_Airport_asv2018-08_img3.jpg
va-25061-1.jpg  <-  File:Jewel-Changi Airport.jpg | CC BY-SA 4.0 | LanBo0428 | https://commons.wikimedia.org/wiki/File:Jewel-Changi_Airport.jpg
va-25064-1.jpg  <-  File:MosObl SVO Airport asv2018-08 img5.jpg | FAL | A.Savin | https://commons.wikimedia.org/wiki/File:MosObl_SVO_Airport_asv2018-08_img5.jpg
va-25065-1.jpg  <-  File:MosObl SVO Airport asv2018-08 img7.jpg | FAL | A.Savin | https://commons.wikimedia.org/wiki/File:MosObl_SVO_Airport_asv2018-08_img7.jpg
va-25078-1.jpg  <-  File:May2015 Volgograd img02 Gumrak Airport.jpg | CC BY-SA 3.0 | A.Savin | https://commons.wikimedia.org/wiki/File:May2015_Volgograd_img02_Gumrak_Airport.jpg
va-25080-1.jpg  <-  File:Amderma Airport.jpg | CC BY-SA 4.0 | Petr Gorbunov | https://commons.wikimedia.org/wiki/File:Amderma_Airport.jpg
va-25086-1.jpg  <-  File:May2015 Volgograd img22 Gumrak Airport.jpg | CC BY-SA 3.0 | A.Savin | https://commons.wikimedia.org/wiki/File:May2015_Volgograd_img22_Gumrak_Airport.jpg
va-25118-1.jpg  <-  File:May2015 Volgograd img20 Gumrak Airport.jpg | CC BY-SA 3.0 | A.Savin | https://commons.wikimedia.org/wiki/File:May2015_Volgograd_img20_Gumrak_Airport.jpg
va-25153-1.jpg  <-  File:Nsk-Ob Tolmachevo terminal 07-2016.jpg | FAL | A.Savin | https://commons.wikimedia.org/wiki/File:Nsk-Ob_Tolmachevo_terminal_07-2016.jpg
va-26055-1.jpg  <-  File:JFK Expressway td (2021-10-11) 008.jpg | CC BY-SA 4.0 | Tdorante10 | https://commons.wikimedia.org/wiki/File:JFK_Expressway_td_(2021-10-11)_008.jpg
va-26063-1.jpg  <-  File:JFK Expressway td (2021-10-11) 007.jpg | CC BY-SA 4.0 | Tdorante10 | https://commons.wikimedia.org/wiki/File:JFK_Expressway_td_(2021-10-11)_007.jpg
