Real cover photos sourced from Wikimedia Commons. Format: file <- source | license | author | page
va-23176-1.jpg  <-  File:Chenies Manor House and garden - geograph.org.uk - 5465054.jpg | CC BY-SA 2.0 | Michael Garlick | https://commons.wikimedia.org/wiki/File:Chenies_Manor_House_and_garden_-_geograph.org.uk_-_5465054.jpg
va-25017-1.jpg  <-  File:Formal Garden-Parkwood Estate and Garden-Oshawa-Ontario-4300-20220522.jpg | CC BY-SA 4.0 | Mhsheikholeslami | https://commons.wikimedia.org/wiki/File:Formal_Garden-Parkwood_Estate_and_Garden-Oshawa-Ontario-4300-20220522.jpg
va-25129-1.jpg  <-  File:Cotswold Wildlife Park & Gardens Manor House, Burford (1).jpg | CC BY-SA 4.0 | Vauxford | https://commons.wikimedia.org/wiki/File:Cotswold_Wildlife_Park_%26_Gardens_Manor_House,_Burford_(1).jpg
va-25161-1.jpg  <-  File:Landscaped Gardens at Speke Resort Munyonyo.jpg | CC BY-SA 4.0 | ASally Ruth | https://commons.wikimedia.org/wiki/File:Landscaped_Gardens_at_Speke_Resort_Munyonyo.jpg
va-25163-1.jpg  <-  File:Exit from the formal garden, Rosehaugh estate - geograph.org.uk - 6927006.jpg | CC BY-SA 2.0 | Julian Paren | https://commons.wikimedia.org/wiki/File:Exit_from_the_formal_garden,_Rosehaugh_estate_-_geograph.org.uk_-_6927006.jpg
va-25166-1.jpg  <-  File:Chenies Manor House, Garden sculpture 2 - geograph.org.uk - 5465028.jpg | CC BY-SA 2.0 | Michael Garlick | https://commons.wikimedia.org/wiki/File:Chenies_Manor_House,_Garden_sculpture_2_-_geograph.org.uk_-_5465028.jpg
va-25167-1.jpg  <-  File:Chenies Manor House, Garden sculpture 1 - geograph.org.uk - 5465024.jpg | CC BY-SA 2.0 | Michael Garlick | https://commons.wikimedia.org/wiki/File:Chenies_Manor_House,_Garden_sculpture_1_-_geograph.org.uk_-_5465024.jpg
va-25168-1.jpg  <-  File:Chenies Manor House, Garden sculpture 3 - geograph.org.uk - 5465032.jpg | CC BY-SA 2.0 | Michael Garlick | https://commons.wikimedia.org/wiki/File:Chenies_Manor_House,_Garden_sculpture_3_-_geograph.org.uk_-_5465032.jpg
va-25169-1.jpg  <-  File:Camden - Formal garden on private estate.jpg | Public domain | Munn &amp; Teal | https://commons.wikimedia.org/wiki/File:Camden_-_Formal_garden_on_private_estate.jpg
va-25177-1.jpg  <-  File:Chenies Manor House, Garden sculpture 4 - geograph.org.uk - 5465038.jpg | CC BY-SA 2.0 | Michael Garlick | https://commons.wikimedia.org/wiki/File:Chenies_Manor_House,_Garden_sculpture_4_-_geograph.org.uk_-_5465038.jpg
va-25179-1.jpg  <-  File:Formal garden at Hardwick Hall - geograph.org.uk - 1444327.jpg | CC BY-SA 2.0 | Kate Jewell | https://commons.wikimedia.org/wiki/File:Formal_garden_at_Hardwick_Hall_-_geograph.org.uk_-_1444327.jpg
va-26005-1.jpg  <-  File:Chenies Manor House, Garden sculpture 5 - geograph.org.uk - 5465041.jpg | CC BY-SA 2.0 | Michael Garlick | https://commons.wikimedia.org/wiki/File:Chenies_Manor_House,_Garden_sculpture_5_-_geograph.org.uk_-_5465041.jpg
