Real cover photos sourced from Wikimedia Commons. Format: file <- source | license | author | page
va-24003-1.jpg  <-  File:Fairway on Halifax Golf Course - geograph.org.uk - 5204707.jpg | CC BY-SA 2.0 | Chris Heaton | https://commons.wikimedia.org/wiki/File:Fairway_on_Halifax_Golf_Course_-_geograph.org.uk_-_5204707.jpg
va-24132-1.jpg  <-  File:East Lothian Landscape , A Fine Evening at Winterfield Golf Course, Dunbar - geograph.org.uk - 2349792.jpg | CC BY-SA 2.0 | Richard West | https://commons.wikimedia.org/wiki/File:East_Lothian_Landscape_,_A_Fine_Evening_at_Winterfield_Golf_Course,_Dunbar_-_geograph.org.uk_-_2349792.jpg
va-24136-1.jpg  <-  File:Hoebridge Golf Course - geograph.org.uk - 570547.jpg | CC BY-SA 2.0 | Colin Smith | https://commons.wikimedia.org/wiki/File:Hoebridge_Golf_Course_-_geograph.org.uk_-_570547.jpg
va-25052-1.jpg  <-  File:Elland FP59 approaching a golf course fairway - geograph.org.uk - 3765974.jpg | CC BY-SA 2.0 | Humphrey Bolton | https://commons.wikimedia.org/wiki/File:Elland_FP59_approaching_a_golf_course_fairway_-_geograph.org.uk_-_3765974.jpg
va-25119-1.jpg  <-  File:Golf Course on Penn Common, Staffordshire - geograph.org.uk - 616780.jpg | CC BY-SA 2.0 | Roger  Kidd | https://commons.wikimedia.org/wiki/File:Golf_Course_on_Penn_Common,_Staffordshire_-_geograph.org.uk_-_616780.jpg
va-25120-1.jpg  <-  File:A fairway, Teignmouth golf course - geograph.org.uk - 1314677.jpg | CC BY-SA 2.0 | Robin Stott | https://commons.wikimedia.org/wiki/File:A_fairway,_Teignmouth_golf_course_-_geograph.org.uk_-_1314677.jpg
va-25124-1.jpg  <-  File:17th Fairway, Shrigley Hall Golf Course - geograph.org.uk - 2102728.jpg | CC BY-SA 2.0 | Ian Capper | https://commons.wikimedia.org/wiki/File:17th_Fairway,_Shrigley_Hall_Golf_Course_-_geograph.org.uk_-_2102728.jpg
va-25128-1.jpg  <-  File:King Edward VII. as a sportsman (1911) (14753900906).jpg | No restrictions | Internet Archive Book Images | https://commons.wikimedia.org/wiki/File:King_Edward_VII._as_a_sportsman_(1911)_(14753900906).jpg
va-26009-1.jpg  <-  File:5th Fairway, Shrigley Hall Golf Course - geograph.org.uk - 2102754.jpg | CC BY-SA 2.0 | Ian Capper | https://commons.wikimedia.org/wiki/File:5th_Fairway,_Shrigley_Hall_Golf_Course_-_geograph.org.uk_-_2102754.jpg
va-26011-1.jpg  <-  File:Burstwick Country Golf Course - geograph.org.uk - 329817.jpg | CC BY-SA 2.0 | Paul Glazzard | https://commons.wikimedia.org/wiki/File:Burstwick_Country_Golf_Course_-_geograph.org.uk_-_329817.jpg
va-26114-1.jpg  <-  File:4th Fairway, Shrigley Hall Golf Course - geograph.org.uk - 2103656.jpg | CC BY-SA 2.0 | Ian Capper | https://commons.wikimedia.org/wiki/File:4th_Fairway,_Shrigley_Hall_Golf_Course_-_geograph.org.uk_-_2103656.jpg
va-26117-1.jpg  <-  File:Bradfield College Golf Course 3rd fairway - geograph.org.uk - 2501386.jpg | CC BY-SA 2.0 | Stuart Logan | https://commons.wikimedia.org/wiki/File:Bradfield_College_Golf_Course_3rd_fairway_-_geograph.org.uk_-_2501386.jpg
va-26123-1.jpg  <-  File:Golf course green restoration - aeration holes.jpg | CC BY-SA 4.0 | Votpuske | https://commons.wikimedia.org/wiki/File:Golf_course_green_restoration_-_aeration_holes.jpg
va-26131-1.jpg  <-  File:Fairway on Llanymynech golf course - geograph.org.uk - 526805.jpg | CC BY-SA 2.0 | John Haynes | https://commons.wikimedia.org/wiki/File:Fairway_on_Llanymynech_golf_course_-_geograph.org.uk_-_526805.jpg
va-26142-1.jpg  <-  File:Elland FP59 crossing a golf course fairway, Stainland - geograph.org.uk - 4707437.jpg | CC BY-SA 2.0 | Humphrey Bolton | https://commons.wikimedia.org/wiki/File:Elland_FP59_crossing_a_golf_course_fairway,_Stainland_-_geograph.org.uk_-_4707437.jpg
va-24097-1.jpg  <-  File:DZ6 2459 Sunlit golf course fairway with a sand bunker in the foreground and trees under a clear blue sky.jpg | CC BY-SA 4.0 | PattayaPatrol | https://commons.wikimedia.org/wiki/File:DZ6_2459_Sunlit_golf_course_fairway_with_a_sand_bunker_in_the_foreground_and_trees_under_a_clear_blue_sky.jpg
va-26116-1.jpg  <-  File:DZ6 2517 A quiet golf course under a clear blue sky with a small algae-green water hazard surrounded by dry grass and trees.jpg | CC BY-SA 4.0 | PattayaPatrol | https://commons.wikimedia.org/wiki/File:DZ6_2517_A_quiet_golf_course_under_a_clear_blue_sky_with_a_small_algae-green_water_hazard_surrounded_by_dry_grass_and_trees.jpg
va-26130-1.jpg  <-  File:Fairway on Fulford Golf Course - geograph.org.uk - 7229587.jpg | CC BY-SA 2.0 | Chris Heaton | https://commons.wikimedia.org/wiki/File:Fairway_on_Fulford_Golf_Course_-_geograph.org.uk_-_7229587.jpg
va-24122-1.jpg  <-  File:DZ6 2477 Sun blazing over a pristine sand bunker on a perfectly manicured golf course.jpg | CC BY-SA 4.0 | PattayaPatrol | https://commons.wikimedia.org/wiki/File:DZ6_2477_Sun_blazing_over_a_pristine_sand_bunker_on_a_perfectly_manicured_golf_course.jpg
va-26027-1.jpg  <-  File:DZ6 2514 A sunny day on the golf course - a winding cart path leads past manicured fairways and scattered trees under a bright blue sky.jpg | CC BY-SA 4.0 | PattayaPatrol | https://commons.wikimedia.org/wiki/File:DZ6_2514_A_sunny_day_on_the_golf_course_-_a_winding_cart_path_leads_past_manicured_fairways_and_scattered_trees_under_a_bright_blue_sky.jpg
