Real cover photos sourced from Wikimedia Commons. Format: file <- source | license | author | page

va-24096-1.jpg  <-  File:Landscaped Gardens at Speke Resort Munyonyo.jpg | CC BY-SA 4.0 | ASally Ruth | https://commons.wikimedia.org/wiki/File:Landscaped_Gardens_at_Speke_Resort_Munyonyo.jpg
va-24103-1.jpg  <-  File:Landscapes & Resort Infrastructure 2.jpg | CC BY-SA 4.0 | LuzViMindaLife | https://commons.wikimedia.org/wiki/File:Landscapes_%26_Resort_Infrastructure_2.jpg
va-25032-1.jpg  <-  File:Nevada - Las Vegas tropical palm garden in front of MANDALAY BAY @ The Strip (49506202652).jpg | CC BY-SA 2.0 | Reinhard Link from Germany | https://commons.wikimedia.org/wiki/File:Nevada_-_Las_Vegas_tropical_palm_garden_in_front_of_MANDALAY_BAY_@_The_Strip_(49506202652).jpg
va-25082-1.jpg  <-  File:Filerimos Hill 270 m high and 2,3 km from Labranda Blue Bay Garden Rhodes 24 August 2018.jpg | CC BY-SA 4.0 | Pjotr Mahhonin | https://commons.wikimedia.org/wiki/File:Filerimos_Hill_270_m_high_and_2,3_km_from_Labranda_Blue_Bay_Garden_Rhodes_24_August_2018.jpg
va-25101-1.jpg  <-  File:Florida Tropical Home, Century of Progress World's Fair, 1933 - Chicago, Illinois (6123795104).jpg | CC BY 2.0 | Steve Shook from Moscow, Idaho, USA | https://commons.wikimedia.org/wiki/File:Florida_Tropical_Home,_Century_of_Progress_World%27s_Fair,_1933_-_Chicago,_Illinois_(6123795104).jpg
va-25102-1.jpg  <-  File:Ciechocinek 2023 53.jpg | CC BY-SA 4.0 | Scotch Mist | https://commons.wikimedia.org/wiki/File:Ciechocinek_2023_53.jpg
va-25108-1.jpg  <-  File:Florida Tropical Home, Century of Progress World's Fair, 1933 - Chicago, Illinois (6123247179).jpg | CC BY 2.0 | Steve Shook from Moscow, Idaho, USA | https://commons.wikimedia.org/wiki/File:Florida_Tropical_Home,_Century_of_Progress_World%27s_Fair,_1933_-_Chicago,_Illinois_(6123247179).jpg
va-25121-1.jpg  <-  File:Florida Tropical Home, Century of Progress World's Fair, 1933 - Chicago, Illinois (6123792792).jpg | CC BY 2.0 | Steve Shook from Moscow, Idaho, USA | https://commons.wikimedia.org/wiki/File:Florida_Tropical_Home,_Century_of_Progress_World%27s_Fair,_1933_-_Chicago,_Illinois_(6123792792).jpg
va-25127-1.jpg  <-  File:MY BACK GARDEN SO TO SPEAK...... (51250506580).jpg | Public domain | INDIGO WOLFSBANE from Newry..., NORTHERN IRELAND.... | https://commons.wikimedia.org/wiki/File:MY_BACK_GARDEN_SO_TO_SPEAK......_(51250506580).jpg
va-26085-1.jpg  <-  File:Florida Tropical Home, Century of Progress World's Fair, 1933 - Chicago, Illinois (6123780482).jpg | CC BY 2.0 | Steve Shook from Moscow, Idaho, USA | https://commons.wikimedia.org/wiki/File:Florida_Tropical_Home,_Century_of_Progress_World%27s_Fair,_1933_-_Chicago,_Illinois_(6123780482).jpg
va-26095-1.jpg  <-  File:Florida Tropical Home, Century of Progress World's Fair, 1933 - Chicago, Illinois (6123779500).jpg | CC BY 2.0 | Steve Shook from Moscow, Idaho, USA | https://commons.wikimedia.org/wiki/File:Florida_Tropical_Home,_Century_of_Progress_World%27s_Fair,_1933_-_Chicago,_Illinois_(6123779500).jpg
va-26109-1.jpg  <-  File:Gedenktafel Gyarmati, Várkert Straße 2, 2022 Gyula.jpg | CC BY-SA 3.0 | Globetrotter19 | https://commons.wikimedia.org/wiki/File:Gedenktafel_Gyarmati,_V%C3%A1rkert_Stra%C3%9Fe_2,_2022_Gyula.jpg
va-26111-1.jpg  <-  File:Grove Park Inn, Grove Park-Sunset, Asheville, NC - 51852217742.jpg | CC BY-SA 2.0 | w_lemay | https://commons.wikimedia.org/wiki/File:Grove_Park_Inn,_Grove_Park-Sunset,_Asheville,_NC_-_51852217742.jpg
va-24113-1.jpg  <-  File:Garden at The Bella Villa in Tagaytay.jpg | CC BY-SA 4.0 | Tranj2030 | https://commons.wikimedia.org/wiki/File:Garden_at_The_Bella_Villa_in_Tagaytay.jpg
va-25042-1.jpg  <-  File:1. Sandcastles-Currumbin-Pool & Spa area at Night.jpg | CC BY-SA 4.0 | AndyHolt | https://commons.wikimedia.org/wiki/File:1._Sandcastles-Currumbin-Pool_%26_Spa_area_at_Night.jpg
va-25090-1.jpg  <-  File:Glass house view - Brooklyn Botanic Garden - Brooklyn, NY - DSC08177.JPG | CC0 | Daderot | https://commons.wikimedia.org/wiki/File:Glass_house_view_-_Brooklyn_Botanic_Garden_-_Brooklyn,_NY_-_DSC08177.JPG
va-26044-1.jpg  <-  File:Garden Courtyard, Royal Hawaiian Hotel, Kalakaua Avenue, Waikiki, Honolulu, HI.jpg | CC BY-SA 2.0 | w_lemay | https://commons.wikimedia.org/wiki/File:Garden_Courtyard,_Royal_Hawaiian_Hotel,_Kalakaua_Avenue,_Waikiki,_Honolulu,_HI.jpg
va-26087-1.jpg  <-  File:Garden Courtyard, Royal Hawaiian Hotel, Kalakaua Avenue, Waikiki, Honolulu, HI - 52273410984.jpg | CC BY-SA 2.0 | w_lemay | https://commons.wikimedia.org/wiki/File:Garden_Courtyard,_Royal_Hawaiian_Hotel,_Kalakaua_Avenue,_Waikiki,_Honolulu,_HI_-_52273410984.jpg
va-26092-1.jpg  <-  File:Garden Courtyard, Royal Hawaiian Hotel, Kalakaua Avenue, Waikiki, Honolulu, HI - 52273411059.jpg | CC BY-SA 2.0 | w_lemay | https://commons.wikimedia.org/wiki/File:Garden_Courtyard,_Royal_Hawaiian_Hotel,_Kalakaua_Avenue,_Waikiki,_Honolulu,_HI_-_52273411059.jpg
va-26093-1.jpg  <-  File:Garden Courtyard, Royal Hawaiian Hotel, Kalakaua Avenue, Waikiki, Honolulu, HI - 52272179177.jpg | CC BY-SA 2.0 | w_lemay | https://commons.wikimedia.org/wiki/File:Garden_Courtyard,_Royal_Hawaiian_Hotel,_Kalakaua_Avenue,_Waikiki,_Honolulu,_HI_-_52272179177.jpg
va-26094-1.jpg  <-  File:Garden Courtyard, Royal Hawaiian Hotel, Kalakaua Avenue, Waikiki, Honolulu, HI - 52273637975.jpg | CC BY-SA 2.0 | w_lemay | https://commons.wikimedia.org/wiki/File:Garden_Courtyard,_Royal_Hawaiian_Hotel,_Kalakaua_Avenue,_Waikiki,_Honolulu,_HI_-_52273637975.jpg
va-26099-1.jpg  <-  File:Garden Courtyard, Royal Hawaiian Hotel, Kalakaua Avenue, Waikiki, Honolulu, HI - 52273148556.jpg | CC BY-SA 2.0 | w_lemay | https://commons.wikimedia.org/wiki/File:Garden_Courtyard,_Royal_Hawaiian_Hotel,_Kalakaua_Avenue,_Waikiki,_Honolulu,_HI_-_52273148556.jpg
va-26104-1.jpg  <-  File:Garden Courtyard, Royal Hawaiian Hotel, Kalakaua Avenue, Waikiki, Honolulu, HI - 52273638970.jpg | CC BY-SA 2.0 | w_lemay | https://commons.wikimedia.org/wiki/File:Garden_Courtyard,_Royal_Hawaiian_Hotel,_Kalakaua_Avenue,_Waikiki,_Honolulu,_HI_-_52273638970.jpg
va-26110-1.jpg  <-  File:From palm to glacier; with an interlude- Brazil, Bermuda, and Alaska; (1892) (14763820074).jpg | No restrictions | Internet Archive Book Images | https://commons.wikimedia.org/wiki/File:From_palm_to_glacier;_with_an_interlude-_Brazil,_Bermuda,_and_Alaska;_(1892)_(14763820074).jpg
va-24134-1.jpg  <-  File:Walkway at Fairchild Tropical Botanical Gardens.jpg | CC BY-SA 4.0 | LittleOrphanDani | https://commons.wikimedia.org/wiki/File:Walkway_at_Fairchild_Tropical_Botanical_Gardens.jpg
va-25100-1.jpg  <-  File:Crystal Bridge Tropical Conservatory, Myriad Botanical Gardens, Reno Avenue and Ron Norick Boulevard, Oklahoma City, OK - 54010121394.jpg | CC BY-SA 2.0 | w_lemay | https://commons.wikimedia.org/wiki/File:Crystal_Bridge_Tropical_Conservatory,_Myriad_Botanical_Gardens,_Reno_Avenue_and_Ron_Norick_Boulevard,_Oklahoma_City,_OK_-_54010121394.jpg
va-26106-1.jpg  <-  File:Crystal Bridge Tropical Conservatory, Myriad Botanical Gardens, Reno Avenue and Ron Norick Boulevard, Oklahoma City, OK - 54009793906.jpg | CC BY-SA 2.0 | w_lemay | https://commons.wikimedia.org/wiki/File:Crystal_Bridge_Tropical_Conservatory,_Myriad_Botanical_Gardens,_Reno_Avenue_and_Ron_Norick_Boulevard,_Oklahoma_City,_OK_-_54009793906.jpg
va-26035-1.jpg  <-  File:DZ6 2454 A peaceful pond dotted with pink water lilies framed by palm trees and bright blue sky.jpg | CC BY-SA 4.0 | PattayaPatrol | https://commons.wikimedia.org/wiki/File:DZ6_2454_A_peaceful_pond_dotted_with_pink_water_lilies_framed_by_palm_trees_and_bright_blue_sky.jpg
