Real cover photos sourced from Wikimedia Commons. Format: file <- source | license | author | page
va-24034-1.jpg  <-  File:Rooftop farm at the Essex (65787p).jpg | CC BY-SA 4.0 | Rhododendrites | https://commons.wikimedia.org/wiki/File:Rooftop_farm_at_the_Essex_(65787p).jpg
va-24056-1.jpg  <-  File:Fukuoka Daimyō Garden City Stage The off-limits roof terrace Daimyo 2-chōme Chūō-ku Fukuoka 20250717.jpg | CC BY 4.0 | Hirho | https://commons.wikimedia.org/wiki/File:Fukuoka_Daimy%C5%8D_Garden_City_Stage_The_off-limits_roof_terrace_Daimyo_2-ch%C5%8Dme_Ch%C5%AB%C5%8D-ku_Fukuoka_20250717.jpg
va-25004-1.jpg  <-  File:Green Roof Pavilion, Parker Mill Park, Ann Arbor Township, Michigan.JPG | CC BY 3.0 | Dwight Burdette | https://commons.wikimedia.org/wiki/File:Green_Roof_Pavilion,_Parker_Mill_Park,_Ann_Arbor_Township,_Michigan.JPG
va-25007-1.jpg  <-  File:EVA- Lanxmeer Green roof 2009.jpg | CC BY-SA 4.0 | Lamiot | https://commons.wikimedia.org/wiki/File:EVA-_Lanxmeer_Green_roof_2009.jpg
va-25022-1.jpg  <-  File:Library of Birmingham roof terrace and garden - geograph.org.uk - 3664156.jpg | CC BY-SA 2.0 | Jim Osley | https://commons.wikimedia.org/wiki/File:Library_of_Birmingham_roof_terrace_and_garden_-_geograph.org.uk_-_3664156.jpg
va-25024-1.jpg  <-  File:Grohmann Museum January 2024 30 (Rooftop Sculpture Garden).jpg | CC BY-SA 4.0 | Michael Barera | https://commons.wikimedia.org/wiki/File:Grohmann_Museum_January_2024_30_(Rooftop_Sculpture_Garden).jpg
va-25033-1.jpg  <-  File:HK SKD 西貢北 Sai Kung North 海映路 Hoi Ying Road 西沙 Go Park Sai Sha roof top garden flora n green plant June 2025 R12S 05.jpg | CC0 | Littootze 622 Miammoel | https://commons.wikimedia.org/wiki/File:HK_SKD_%E8%A5%BF%E8%B2%A2%E5%8C%97_Sai_Kung_North_%E6%B5%B7%E6%98%A0%E8%B7%AF_Hoi_Ying_Road_%E8%A5%BF%E6%B2%99_Go_Park_Sai_Sha_roof_top_garden_flora_n_green_plant_June_2025_R12S_05.jpg
va-25036-1.jpg  <-  File:HK SKD 西貢北 Sai Kung North 海映路 Hoi Ying Road 西沙 Go Park Sai Sha roof top garden flora n green plant June 2025 R12S 04.jpg | CC0 | Littootze 622 Miammoel | https://commons.wikimedia.org/wiki/File:HK_SKD_%E8%A5%BF%E8%B2%A2%E5%8C%97_Sai_Kung_North_%E6%B5%B7%E6%98%A0%E8%B7%AF_Hoi_Ying_Road_%E8%A5%BF%E6%B2%99_Go_Park_Sai_Sha_roof_top_garden_flora_n_green_plant_June_2025_R12S_04.jpg
va-25046-1.jpg  <-  File:PRALIVA Roof-Garden 20220709.jpg | CC BY-SA 4.0 | Hirho | https://commons.wikimedia.org/wiki/File:PRALIVA_Roof-Garden_20220709.jpg
va-25048-1.jpg  <-  File:QEF Rooftop garden 07.jpg | CC BY-SA 4.0 | Suresh Khole | https://commons.wikimedia.org/wiki/File:QEF_Rooftop_garden_07.jpg
va-25054-1.jpg  <-  File:HK SKD 西貢北 Sai Kung North 海映路 Hoi Ying Road 西沙 Go Park Sai Sha roof top garden flora n green plant June 2025 R12S 07.jpg | CC0 | Littootze 622 Miammoel | https://commons.wikimedia.org/wiki/File:HK_SKD_%E8%A5%BF%E8%B2%A2%E5%8C%97_Sai_Kung_North_%E6%B5%B7%E6%98%A0%E8%B7%AF_Hoi_Ying_Road_%E8%A5%BF%E6%B2%99_Go_Park_Sai_Sha_roof_top_garden_flora_n_green_plant_June_2025_R12S_07.jpg
va-25059-1.jpg  <-  File:HK SKD 西貢北 Sai Kung North 海映路 Hoi Ying Road 西沙 Go Park Sai Sha roof top garden flora n green plant June 2025 R12S 02.jpg | CC0 | Littootze 622 Miammoel | https://commons.wikimedia.org/wiki/File:HK_SKD_%E8%A5%BF%E8%B2%A2%E5%8C%97_Sai_Kung_North_%E6%B5%B7%E6%98%A0%E8%B7%AF_Hoi_Ying_Road_%E8%A5%BF%E6%B2%99_Go_Park_Sai_Sha_roof_top_garden_flora_n_green_plant_June_2025_R12S_02.jpg
va-25071-1.jpg  <-  File:QEF Rooftop garden 14.jpg | CC BY-SA 4.0 | Suresh Khole | https://commons.wikimedia.org/wiki/File:QEF_Rooftop_garden_14.jpg
va-26006-1.jpg  <-  File:QEF Rooftop garden 08.jpg | CC BY-SA 4.0 | Suresh Khole | https://commons.wikimedia.org/wiki/File:QEF_Rooftop_garden_08.jpg
va-26008-1.jpg  <-  File:HK SKD 西貢北 Sai Kung North 海映路 Hoi Ying Road 西沙 Go Park Sai Sha roof top garden flora n green plant June 2025 R12S 01.jpg | CC0 | Littootze 622 Miammoel | https://commons.wikimedia.org/wiki/File:HK_SKD_%E8%A5%BF%E8%B2%A2%E5%8C%97_Sai_Kung_North_%E6%B5%B7%E6%98%A0%E8%B7%AF_Hoi_Ying_Road_%E8%A5%BF%E6%B2%99_Go_Park_Sai_Sha_roof_top_garden_flora_n_green_plant_June_2025_R12S_01.jpg
va-26013-1.jpg  <-  File:QEF Rooftop garden 12.jpg | CC BY-SA 4.0 | Suresh Khole | https://commons.wikimedia.org/wiki/File:QEF_Rooftop_garden_12.jpg
va-26021-1.jpg  <-  File:HK SKD 西貢北 Sai Kung North 海映路 Hoi Ying Road 西沙 Go Park Sai Sha roof top garden flora n green plant June 2025 R12S 03.jpg | CC0 | Littootze 622 Miammoel | https://commons.wikimedia.org/wiki/File:HK_SKD_%E8%A5%BF%E8%B2%A2%E5%8C%97_Sai_Kung_North_%E6%B5%B7%E6%98%A0%E8%B7%AF_Hoi_Ying_Road_%E8%A5%BF%E6%B2%99_Go_Park_Sai_Sha_roof_top_garden_flora_n_green_plant_June_2025_R12S_03.jpg
va-26023-1.jpg  <-  File:DirkvdM casa grande roof terrace.jpg | CC BY-SA 3.0 | unknown | https://commons.wikimedia.org/wiki/File:DirkvdM_casa_grande_roof_terrace.jpg
va-26030-1.jpg  <-  File:QEF Rooftop garden 13.jpg | CC BY-SA 4.0 | Suresh Khole | https://commons.wikimedia.org/wiki/File:QEF_Rooftop_garden_13.jpg
va-26031-1.jpg  <-  File:HK SKD 西貢北 Sai Kung North 海映路 Hoi Ying Road 西沙 Go Park Sai Sha roof top garden flora n green plant June 2025 R12S 09.jpg | CC0 | Littootze 622 Miammoel | https://commons.wikimedia.org/wiki/File:HK_SKD_%E8%A5%BF%E8%B2%A2%E5%8C%97_Sai_Kung_North_%E6%B5%B7%E6%98%A0%E8%B7%AF_Hoi_Ying_Road_%E8%A5%BF%E6%B2%99_Go_Park_Sai_Sha_roof_top_garden_flora_n_green_plant_June_2025_R12S_09.jpg
va-26057-1.jpg  <-  File:HK SKD 西貢北 Sai Kung North 海映路 Hoi Ying Road 西沙 Go Park Sai Sha roof top garden flora n green plant June 2025 R12S 06.jpg | CC0 | Littootze 622 Miammoel | https://commons.wikimedia.org/wiki/File:HK_SKD_%E8%A5%BF%E8%B2%A2%E5%8C%97_Sai_Kung_North_%E6%B5%B7%E6%98%A0%E8%B7%AF_Hoi_Ying_Road_%E8%A5%BF%E6%B2%99_Go_Park_Sai_Sha_roof_top_garden_flora_n_green_plant_June_2025_R12S_06.jpg
va-26088-1.jpg  <-  File:QEF Rooftop garden 06.jpg | CC BY-SA 4.0 | Suresh Khole | https://commons.wikimedia.org/wiki/File:QEF_Rooftop_garden_06.jpg
